Longitude, Latitude, Altitude, Azimuth
19.0562805, 47.4790879, 147.6796000, 322.0300000
19.0562778, 47.4790899, 147.6806000, 321.6000000
19.0562752, 47.4790919, 147.6810000, 321.1200000
19.0562725, 47.4790939, 147.6808000, 320.4600000
19.0562697, 47.4790959, 147.6787000, 319.8400000
19.0562669, 47.4790978, 147.6727000, 319.0500000
19.0562639, 47.4790997, 147.6716000, 318.1500000
19.0562610, 47.4791015, 147.6741000, 317.2200000
19.0562579, 47.4791033, 147.6732000, 316.0400000
19.0562548, 47.4791050, 147.6697000, 314.8000000
19.0562516, 47.4791067, 147.6669000, 313.4400000
19.0562483, 47.4791082, 147.6650000, 311.8500000
19.0562449, 47.4791097, 147.6617000, 310.1900000
19.0562415, 47.4791112, 147.6586000, 308.3700000
19.0562379, 47.4791125, 147.6550000, 306.4400000
19.0562343, 47.4791136, 147.6514000, 304.3500000
19.0562306, 47.4791147, 147.6497000, 302.1000000
19.0562268, 47.4791156, 147.6443000, 299.7600000
19.0562230, 47.4791164, 147.6396000, 297.2900000
19.0562191, 47.4791171, 147.6390000, 294.7900000
19.0562150, 47.4791177, 147.6388000, 292.0800000
19.0562109, 47.4791182, 147.6349000, 289.2500000
19.0562068, 47.4791184, 147.6313000, 286.4700000
19.0562027, 47.4791186, 147.6282000, 283.7300000
19.0561986, 47.4791186, 147.6253000, 280.9500000
19.0561945, 47.4791185, 147.6189000, 278.1800000
19.0561905, 47.4791182, 147.6123000, 275.4600000
19.0561865, 47.4791178, 147.6086000, 272.7300000
19.0561825, 47.4791173, 147.6049000, 269.9700000
19.0561784, 47.4791167, 147.6021000, 267.1000000
19.0561743, 47.4791159, 147.6011000, 264.3100000
19.0561704, 47.4791150, 147.5994000, 261.4700000
19.0561665, 47.4791139, 147.5963000, 258.7500000
19.0561626, 47.4791128, 147.5953000, 256.0200000
19.0561590, 47.4791115, 147.5961000, 253.3400000
19.0561555, 47.4791102, 147.5947000, 250.7200000
19.0561521, 47.4791087, 147.5922000, 248.0400000
19.0561488, 47.4791071, 147.5887000, 245.3900000
19.0561457, 47.4791055, 147.5865000, 242.7200000
19.0561425, 47.4791036, 147.5839000, 239.9000000
19.0561395, 47.4791016, 147.5812000, 237.0800000
19.0561367, 47.4790995, 147.5789000, 234.2900000
19.0561340, 47.4790974, 147.5779000, 231.4400000
19.0561316, 47.4790951, 147.5806000, 228.6300000
19.0561293, 47.4790928, 147.5805000, 225.8100000
19.0561272, 47.4790905, 147.5783000, 222.9900000
19.0561253, 47.4790881, 147.5806000, 220.2500000
19.0561235, 47.4790856, 147.5797000, 217.4800000
19.0561220, 47.4790831, 147.5792000, 214.7100000
19.0561206, 47.4790805, 147.5791000, 211.9900000
19.0561193, 47.4790779, 147.5779000, 209.2600000
19.0561183, 47.4790753, 147.5736000, 206.5700000
19.0561174, 47.4790726, 147.5702000, 203.9800000
19.0561166, 47.4790699, 147.5683000, 201.4600000
19.0561159, 47.4790671, 147.5630000, 199.0600000
19.0561154, 47.4790644, 147.5552000, 196.8900000
19.0561150, 47.4790617, 147.5486000, 194.7800000
19.0561146, 47.4790589, 147.5452000, 192.9400000
19.0561143, 47.4790560, 147.5401000, 191.1200000
19.0561142, 47.4790533, 147.5372000, 189.5800000
19.0561141, 47.4790506, 147.5383000, 188.2300000
19.0561139, 47.4790478, 147.5369000, 187.0300000
19.0561138, 47.4790451, 147.5356000, 186.0600000
19.0561137, 47.4790423, 147.5344000, 185.2300000
19.0561136, 47.4790395, 147.5320000, 184.5800000
19.0561135, 47.4790367, 147.5302000, 184.0600000
19.0561134, 47.4790339, 147.5282000, 183.6700000
19.0561134, 47.4790311, 147.5262000, 183.3400000
19.0561133, 47.4790283, 147.5270000, 183.2000000
19.0561132, 47.4790255, 147.5313000, 182.9700000
19.0561131, 47.4790227, 147.5365000, 182.8100000
19.0561130, 47.4790200, 147.5379000, 182.6600000
19.0561129, 47.4790173, 147.5388000, 182.4700000
19.0561129, 47.4790146, 147.5418000, 182.2700000
19.0561128, 47.4790117, 147.5461000, 182.0600000
19.0561128, 47.4790089, 147.5468000, 181.8500000
19.0561128, 47.4790061, 147.5407000, 181.6300000
19.0561128, 47.4790033, 147.5376000, 181.4000000
19.0561127, 47.4790005, 147.5337000, 181.2100000
19.0561127, 47.4789978, 147.5278000, 181.0200000
19.0561127, 47.4789950, 147.5207000, 180.8900000
19.0561128, 47.4789922, 147.5165000, 180.7200000
19.0561128, 47.4789895, 147.5157000, 180.6300000
19.0561129, 47.4789867, 147.5159000, 180.5400000
19.0561130, 47.4789840, 147.5160000, 180.4400000
19.0561132, 47.4789812, 147.5144000, 180.3600000
19.0561133, 47.4789785, 147.5134000, 180.2700000
19.0561134, 47.4789758, 147.5135000, 180.1600000
19.0561135, 47.4789729, 147.5139000, 180.0700000
19.0561137, 47.4789701, 147.5130000, 179.9800000
19.0561138, 47.4789672, 147.5122000, 179.8800000
19.0561140, 47.4789644, 147.5119000, 179.8100000
19.0561141, 47.4789615, 147.5133000, 179.7600000
19.0561143, 47.4789587, 147.5159000, 179.6800000
19.0561145, 47.4789559, 147.5178000, 179.6200000
19.0561146, 47.4789531, 147.5197000, 179.6100000
19.0561148, 47.4789503, 147.5211000, 179.5400000
19.0561150, 47.4789475, 147.5236000, 179.5300000
19.0561151, 47.4789446, 147.5256000, 179.4800000
19.0561152, 47.4789418, 147.5257000, 179.4800000
19.0561153, 47.4789391, 147.5252000, 179.4200000
19.0561155, 47.4789364, 147.5266000, 179.4200000
19.0561157, 47.4789336, 147.5285000, 179.3900000
19.0561158, 47.4789309, 147.5322000, 179.3600000
19.0561160, 47.4789282, 147.5351000, 179.3400000
19.0561161, 47.4789254, 147.5349000, 179.3300000
19.0561163, 47.4789227, 147.5367000, 179.2800000
19.0561165, 47.4789199, 147.5410000, 179.2700000
19.0561166, 47.4789172, 147.5413000, 179.1800000
19.0561168, 47.4789144, 147.5399000, 179.1900000
19.0561170, 47.4789116, 147.5384000, 179.1400000
19.0561172, 47.4789088, 147.5405000, 179.0900000
19.0561173, 47.4789060, 147.5447000, 179.0600000
19.0561175, 47.4789032, 147.5484000, 179.0300000
19.0561177, 47.4789003, 147.5506000, 178.9800000
19.0561179, 47.4788976, 147.5532000, 178.9800000
19.0561180, 47.4788949, 147.5566000, 178.9300000
19.0561182, 47.4788922, 147.5614000, 178.9000000
19.0561184, 47.4788894, 147.5646000, 178.9100000
19.0561186, 47.4788866, 147.5668000, 178.8500000
19.0561187, 47.4788838, 147.5692000, 178.8700000
19.0561189, 47.4788810, 147.5718000, 178.8500000
19.0561191, 47.4788782, 147.5734000, 178.8600000
19.0561193, 47.4788754, 147.5711000, 178.8300000
19.0561194, 47.4788725, 147.5678000, 178.8100000
19.0561196, 47.4788698, 147.5616000, 178.8200000
19.0561198, 47.4788671, 147.5579000, 178.7900000
19.0561200, 47.4788644, 147.5559000, 178.7900000
19.0561201, 47.4788617, 147.5531000, 178.7900000
19.0561203, 47.4788589, 147.5488000, 178.7700000
19.0561204, 47.4788561, 147.5437000, 178.7700000
19.0561206, 47.4788534, 147.5421000, 178.7700000
19.0561207, 47.4788506, 147.5424000, 178.7800000
19.0561209, 47.4788478, 147.5403000, 178.8100000
19.0561211, 47.4788450, 147.5370000, 178.8200000
19.0561212, 47.4788422, 147.5343000, 178.8600000
19.0561214, 47.4788394, 147.5341000, 178.8900000
19.0561215, 47.4788366, 147.5355000, 178.9200000
19.0561217, 47.4788338, 147.5363000, 178.9400000
19.0561218, 47.4788310, 147.5353000, 178.9900000
19.0561219, 47.4788282, 147.5357000, 179.0300000
19.0561221, 47.4788255, 147.5375000, 179.0500000
19.0561223, 47.4788227, 147.5353000, 179.1000000
19.0561224, 47.4788200, 147.5292000, 179.1500000
19.0561225, 47.4788173, 147.5219000, 179.1800000
19.0561226, 47.4788146, 147.5167000, 179.2200000
19.0561227, 47.4788117, 147.5164000, 179.2800000
19.0561229, 47.4788089, 147.5140000, 179.3000000
19.0561229, 47.4788061, 147.5098000, 179.3200000
19.0561231, 47.4788033, 147.5090000, 179.4100000
19.0561232, 47.4788006, 147.5066000, 179.4200000
19.0561233, 47.4787978, 147.5042000, 179.4700000
19.0561234, 47.4787951, 147.5058000, 179.5000000
19.0561235, 47.4787923, 147.5060000, 179.5400000
19.0561236, 47.4787894, 147.5041000, 179.5900000
19.0561237, 47.4787867, 147.5103000, 179.6100000
19.0561238, 47.4787839, 147.5138000, 179.6900000
19.0561239, 47.4787811, 147.5189000, 179.7400000
19.0561240, 47.4787784, 147.5259000, 179.8100000
19.0561242, 47.4787757, 147.5296000, 179.8400000
19.0561242, 47.4787730, 147.5339000, 179.9000000
19.0561243, 47.4787701, 147.5400000, 179.9500000
19.0561244, 47.4787673, 147.5442000, 179.9800000
19.0561245, 47.4787645, 147.5455000, 180.0600000
19.0561246, 47.4787617, 147.5446000, 180.0900000
19.0561247, 47.4787589, 147.5444000, 180.1200000
19.0561247, 47.4787562, 147.5447000, 180.1700000
19.0561248, 47.4787534, 147.5441000, 180.2100000
19.0561249, 47.4787507, 147.5429000, 180.2400000
19.0561249, 47.4787479, 147.5428000, 180.2600000
19.0561250, 47.4787452, 147.5425000, 180.2400000
19.0561251, 47.4787425, 147.5418000, 180.1600000
19.0561252, 47.4787397, 147.5393000, 180.1200000
19.0561253, 47.4787369, 147.5328000, 179.9200000
19.0561256, 47.4787341, 147.5292000, 179.6300000
19.0561258, 47.4787313, 147.5288000, 179.2200000
19.0561262, 47.4787284, 147.5257000, 178.6000000
19.0561266, 47.4787257, 147.5215000, 177.8800000
19.0561271, 47.4787230, 147.5210000, 176.9600000
19.0561278, 47.4787203, 147.5185000, 175.8100000
19.0561287, 47.4787176, 147.5147000, 174.3900000
19.0561296, 47.4787149, 147.5131000, 172.8400000
19.0561307, 47.4787123, 147.5128000, 171.1600000
19.0561320, 47.4787097, 147.5113000, 169.3000000
19.0561335, 47.4787072, 147.5099000, 167.2300000
19.0561352, 47.4787046, 147.5103000, 164.8500000
19.0561371, 47.4787022, 147.5110000, 162.3900000
19.0561392, 47.4786998, 147.5138000, 159.7500000
19.0561416, 47.4786975, 147.5183000, 156.8300000
19.0561441, 47.4786953, 147.5220000, 153.7900000
19.0561469, 47.4786932, 147.5282000, 150.4500000
19.0561499, 47.4786913, 147.5362000, 146.9900000
19.0561530, 47.4786896, 147.5409000, 143.3600000
19.0561563, 47.4786881, 147.5479000, 139.7700000
19.0561599, 47.4786866, 147.5571000, 135.9800000
19.0561635, 47.4786853, 147.5559000, 132.2700000
19.0561672, 47.4786842, 147.5586000, 128.6400000
19.0561711, 47.4786832, 147.5633000, 124.9400000
19.0561749, 47.4786824, 147.5677000, 121.3600000
19.0561790, 47.4786817, 147.5719000, 117.8900000
19.0561829, 47.4786812, 147.5730000, 114.5500000
19.0561870, 47.4786808, 147.5737000, 111.4100000
19.0561909, 47.4786804, 147.5699000, 108.5000000
19.0561951, 47.4786801, 147.5642000, 105.7300000
19.0561991, 47.4786799, 147.5587000, 103.3700000
19.0562033, 47.4786798, 147.5554000, 101.1600000
19.0562073, 47.4786797, 147.5542000, 99.3100000
19.0562115, 47.4786796, 147.5544000, 97.6700000
19.0562156, 47.4786796, 147.5540000, 96.1800000
19.0562199, 47.4786796, 147.5524000, 94.8700000
19.0562239, 47.4786797, 147.5506000, 93.8000000
19.0562280, 47.4786797, 147.5472000, 92.8800000
19.0562320, 47.4786798, 147.5439000, 92.0900000
19.0562361, 47.4786799, 147.5422000, 91.4200000
19.0562401, 47.4786800, 147.5406000, 90.8600000
19.0562441, 47.4786801, 147.5398000, 90.4000000
19.0562481, 47.4786802, 147.5406000, 89.9900000
19.0562523, 47.4786803, 147.5408000, 89.6100000
19.0562565, 47.4786804, 147.5402000, 89.2300000
19.0562607, 47.4786806, 147.5423000, 88.8000000
19.0562648, 47.4786808, 147.5447000, 88.3900000
19.0562689, 47.4786810, 147.5453000, 87.9600000
19.0562729, 47.4786813, 147.5467000, 87.5100000
19.0562770, 47.4786815, 147.5477000, 87.0500000
19.0562810, 47.4786818, 147.5490000, 86.6100000
19.0562849, 47.4786821, 147.5542000, 86.1200000
19.0562891, 47.4786825, 147.5597000, 85.6200000
19.0562932, 47.4786829, 147.5638000, 85.1300000
19.0562973, 47.4786833, 147.5698000, 84.6200000
19.0563014, 47.4786837, 147.5749000, 84.1600000
19.0563054, 47.4786841, 147.5766000, 83.6700000
19.0563094, 47.4786846, 147.5792000, 83.1900000
19.0563135, 47.4786851, 147.5806000, 82.7300000
19.0563175, 47.4786856, 147.5849000, 82.2400000
19.0563216, 47.4786862, 147.5933000, 81.7500000
19.0563257, 47.4786867, 147.6000000, 81.2800000
19.0563297, 47.4786873, 147.6065000, 80.8100000
19.0563338, 47.4786879, 147.6150000, 80.3200000
19.0563378, 47.4786886, 147.6210000, 79.8400000
19.0563419, 47.4786892, 147.6251000, 79.3600000
19.0563459, 47.4786899, 147.6308000, 78.8500000
19.0563500, 47.4786906, 147.6350000, 78.3200000
19.0563541, 47.4786914, 147.6396000, 77.7900000
19.0563581, 47.4786922, 147.6457000, 77.2400000
19.0563620, 47.4786929, 147.6503000, 76.7300000
19.0563658, 47.4786937, 147.6535000, 76.2300000
19.0563696, 47.4786945, 147.6539000, 75.7300000
19.0563734, 47.4786954, 147.6543000, 75.2000000
19.0563773, 47.4786963, 147.6542000, 74.7300000
19.0563811, 47.4786972, 147.6541000, 74.2200000
19.0563850, 47.4786981, 147.6547000, 73.7200000
19.0563889, 47.4786990, 147.6547000, 73.2500000
19.0563928, 47.4787000, 147.6553000, 72.7400000
19.0563967, 47.4787010, 147.6555000, 72.2800000
19.0564006, 47.4787020, 147.6543000, 71.7600000
19.0564046, 47.4787031, 147.6501000, 71.2600000
19.0564083, 47.4787041, 147.6458000, 70.8100000
19.0564120, 47.4787052, 147.6430000, 70.3500000
19.0564158, 47.4787062, 147.6395000, 69.9000000
19.0564195, 47.4787074, 147.6355000, 69.4200000
19.0564233, 47.4787085, 147.6328000, 68.9800000
19.0564271, 47.4787097, 147.6304000, 68.5300000
19.0564308, 47.4787108, 147.6281000, 68.0800000
19.0564346, 47.4787120, 147.6245000, 67.6300000
19.0564383, 47.4787132, 147.6192000, 67.2000000
19.0564421, 47.4787145, 147.6130000, 66.7900000
19.0564458, 47.4787157, 147.6097000, 66.3800000
19.0564495, 47.4787170, 147.6071000, 66.0000000
19.0564531, 47.4787182, 147.6021000, 65.6200000
19.0564568, 47.4787195, 147.5988000, 65.2600000
19.0564604, 47.4787208, 147.5991000, 64.9100000
19.0564639, 47.4787221, 147.5987000, 64.5400000
19.0564675, 47.4787234, 147.5952000, 64.2100000
19.0564710, 47.4787247, 147.5939000, 63.8500000
19.0564745, 47.4787260, 147.5947000, 63.4900000
19.0564782, 47.4787274, 147.5955000, 63.1500000
19.0564819, 47.4787288, 147.5958000, 62.7900000
19.0564855, 47.4787302, 147.5969000, 62.4500000
19.0564891, 47.4787317, 147.5997000, 62.0600000
19.0564927, 47.4787331, 147.6036000, 61.7400000
19.0564962, 47.4787345, 147.6038000, 61.3900000
19.0564997, 47.4787360, 147.6031000, 61.0800000
19.0565032, 47.4787374, 147.6050000, 60.8000000
19.0565066, 47.4787389, 147.6079000, 60.4900000
19.0565102, 47.4787404, 147.6113000, 60.1800000
19.0565137, 47.4787419, 147.6125000, 59.8900000
19.0565172, 47.4787434, 147.6102000, 59.6000000
19.0565207, 47.4787450, 147.6058000, 59.3000000
19.0565241, 47.4787465, 147.6052000, 59.0100000
19.0565275, 47.4787481, 147.6056000, 58.7100000
19.0565308, 47.4787496, 147.6053000, 58.4200000
19.0565343, 47.4787512, 147.6076000, 58.1500000
19.0565376, 47.4787528, 147.6114000, 57.8500000
19.0565410, 47.4787544, 147.6142000, 57.5600000
19.0565443, 47.4787560, 147.6154000, 57.2200000
19.0565476, 47.4787576, 147.6130000, 56.8200000
19.0565508, 47.4787592, 147.6104000, 56.2800000
19.0565539, 47.4787609, 147.6129000, 55.6600000
19.0565571, 47.4787627, 147.6182000, 54.8400000
19.0565602, 47.4787645, 147.6239000, 53.8700000
19.0565631, 47.4787664, 147.6300000, 52.6500000
19.0565660, 47.4787684, 147.6375000, 51.1600000
19.0565688, 47.4787704, 147.6417000, 49.5600000
19.0565713, 47.4787725, 147.6499000, 47.6400000
19.0565737, 47.4787748, 147.6597000, 45.5100000
19.0565761, 47.4787771, 147.6667000, 43.1600000
19.0565781, 47.4787794, 147.6737000, 40.7400000
19.0565799, 47.4787819, 147.6843000, 38.1900000
19.0565816, 47.4787844, 147.6900000, 35.3800000
19.0565832, 47.4787870, 147.6945000, 32.4500000
19.0565844, 47.4787896, 147.6990000, 29.4800000
19.0565854, 47.4787923, 147.7035000, 26.3100000
19.0565862, 47.4787950, 147.7076000, 23.2900000
19.0565867, 47.4787978, 147.7119000, 20.1400000
19.0565870, 47.4788005, 147.7170000, 16.8900000
19.0565871, 47.4788034, 147.7208000, 13.5000000
19.0565869, 47.4788062, 147.7248000, 10.0100000
19.0565864, 47.4788089, 147.7275000, 6.6500000
19.0565857, 47.4788117, 147.7303000, 3.2300000
19.0565848, 47.4788144, 147.7333000, 359.8300000
19.0565837, 47.4788171, 147.7382000, 356.3700000
19.0565823, 47.4788197, 147.7425000, 352.9900000
19.0565807, 47.4788223, 147.7444000, 349.6700000
19.0565789, 47.4788247, 147.7464000, 346.5200000
19.0565769, 47.4788272, 147.7491000, 343.3000000
19.0565748, 47.4788296, 147.7504000, 340.3400000
19.0565726, 47.4788319, 147.7523000, 337.6100000
19.0565702, 47.4788342, 147.7565000, 334.9100000
19.0565677, 47.4788364, 147.7584000, 332.4700000
19.0565651, 47.4788386, 147.7589000, 330.2100000
19.0565624, 47.4788408, 147.7580000, 328.1500000
19.0565596, 47.4788429, 147.7563000, 326.3400000
19.0565568, 47.4788450, 147.7587000, 324.7700000
19.0565542, 47.4788471, 147.7596000, 323.6100000
19.0565515, 47.4788491, 147.7621000, 322.6900000
19.0565489, 47.4788511, 147.7646000, 322.0900000
19.0565461, 47.4788532, 147.7666000, 321.6500000
19.0565434, 47.4788554, 147.7668000, 321.4600000
19.0565407, 47.4788576, 147.7661000, 321.4300000
19.0565381, 47.4788597, 147.7649000, 321.4800000
19.0565356, 47.4788618, 147.7598000, 321.6400000
19.0565329, 47.4788640, 147.7570000, 321.6600000
19.0565304, 47.4788661, 147.7579000, 321.8300000
19.0565278, 47.4788683, 147.7535000, 321.9100000
19.0565251, 47.4788705, 147.7491000, 322.0500000
19.0565225, 47.4788727, 147.7463000, 322.1400000
19.0565200, 47.4788749, 147.7426000, 322.3100000
19.0565174, 47.4788770, 147.7401000, 322.3800000
19.0565148, 47.4788792, 147.7384000, 322.5500000
19.0565123, 47.4788813, 147.7360000, 322.6300000
19.0565098, 47.4788834, 147.7339000, 322.7200000
19.0565073, 47.4788856, 147.7296000, 322.7700000
19.0565047, 47.4788877, 147.7226000, 322.8300000
